ID,Label,Type
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",ann
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",dnr
person_100183464,"James, Thomas, 1572/3–1629",fmo
person_100184667,"Gregory, I, Pope, approximately 540–604",aut
person_100187947,"Thomas, à Becket, Saint, 1118?–1170",
person_100187947,"Thomas, à Becket, Saint, 1118?–1170",fmo dnr
person_100187947,"Thomas, à Becket, Saint, 1118?–1170",fmo
person_100187947,"Thomas, à Becket, Saint, 1118?–1170",
person_100187947,"Thomas, à Becket, Saint, 1118?–1170",
person_100189062,"Bliss, William Henry, 1835–1911",fmo
person_100189062,"Bliss, William Henry, 1835–1911",
person_100189062,"Bliss, William Henry, 1835–1911",fmo
person_1002,"Gresley, Rev. Nigel Walsingham, 1850–1909",fmo
person_100212546,"Wallis, John, 1616–1703",fmo
person_100215915,"Crivelli, Taddeo, active 1451–1476",art
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",dnr
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_100218411,"Savile, Henry, Sir, 1549–1622",fmo
person_1004,"Ric., 15th cent.",fmo
person_1005,"Hassall, Richard, late 14th cent.",fmo
person_100577675,"Busleyden, François de, -1502",fmo
person_1006,"Ricardulus de Samforde, late 13th cent.",scr
person_1008,"Ricciabani, family, of Florence",fmo
person_10088376,"Maffei, Timoteo, approximately 1415–1470",fmo
person_1009,"Legh, Richard, fl. 1613",fmo
person_100901976,"Sparrow, John, 1906–1992",fmo
person_100901976,"Sparrow, John, 1906–1992",fmo
person_100901976,"Sparrow, John, 1906–1992",fmo
person_100901976,"Sparrow, John, 1906–1992",fmo
person_100906238,"Mocquet, Jean, 1575-",fmo
person_100975049,"Calfurnio, Giovanni, 1443–1503",fmo
person_101089289,"Hall, John, 1529 or 1530–1568 or 1569",fmo
person_101092513,"Celotti, Luigi, approximately 1768–approximately 1846",fmo
person_101092513,"Celotti, Luigi, approximately 1768–approximately 1846",fmo
person_1012,"Bennett, Richard, of Riversdale, Manchester, fl. 1898–1900",fmo
person_1012,"Bennett, Richard, of Riversdale, Manchester, fl. 1898–1900",fmo
person_1012,"Bennett, Richard, of Riversdale, Manchester, fl. 1898–1900",fmo
person_1012,"Bennett, Richard, of Riversdale, Manchester, fl. 1898–1900",fmo
person_1015,"Bole, Richard (d. 1477), fellow of Balliol College and archdeacon of Ely",pat
person_101584699,"Tollius, Jacobus, -1696",fmo
person_1016,"Dowse, Richard, 16th cent.",fmo
person_1017,"Fowler, Henry, rector of Minchinhampton, Glos., c. 1618–42",fmo
person_1017,"Fowler, Henry, rector of Minchinhampton, Glos., c. 1618–42",fmo
person_1018,"Hancock, Richard",fmo
person_1020,"Wood, Richard Henry (1820–1908)",fmo
person_10200954,"Bruce, John, 1802–1869",fmo
person_10208215,"Boase, Charles William, 1828–1895",dnr
person_10208215,"Boase, Charles William, 1828–1895",dnr
person_1021,"Holcot, Richard, of Buckland, Berks (d. 1465)",
person_1022,"Howlett, Richard, fl. 1889",fmo
person_102320783,"Goldschmidt, E. Ph., (Ernst Philip)",fmo
person_102320783,"Goldschmidt, E. Ph., (Ernst Philip)",fmo
person_1025,"Lumlay, Richard, 16th cent.",fmo
person_1026,"Maye, Richard, 16th cent.",sgn
person_1029,"Rowe, Richard, of Yorkshire, late 16th cent.",sgn
person_1030,"Stapleton, Richard, master of Balliol College, Oxford, fl. c. 1411–33",scr fmo
person_1031,"Walker, Richard, 15th cent.",fmo
person_103146822249007381493,"Hurault, Jean, sieur de Boistaillé, approximately 1517-1572",fmo
person_1033,"..., Richard, 16th cent.",sgn
person_1034,"Wood, Richard, 16th–17th cent.",fmo
person_1035,"Dumvill, Richard Maria (1600–67), of Lymm, Cheshire",fmo
person_1036,"Normecot, Richard, fl. 1570",sgn
person_1040,"Byard, Robert, 16th–17th cent.",fmo
person_1042,"Davies-Cooke family of Gwsaney, Llanerch and Owston",
person_1042,"Davies-Cooke family of Gwsaney, Llanerch and Owston",
person_1044,"Davies, Robert, of Llannerch (1684–1728)",fmo
person_104499957,"Waddilove, W. J. D., (William James Darley), 1785–1859",fmo
person_1048,"Herring, Robert (1903–75)",fmo
person_1049,"Hournewell, Robert, 15th–16th cent. (?)",
person_1058,"Stockman, Robert, of Honiton, 16th cent.",fmo
person_1059,"Stockman, Robert, the younger, 16th cent.",fmo
person_1060,"Wetherell, Robert, 16th cent. (?)",sgn
person_1062,"Gaham, Robert de, 13th cent.",
person_1063,"Spencer, Robert, first Baron Spencer (1570–1627), of Wormleighton",fmo
person_1063159233907303370153,"Cooke, John (1765–1795)",fmo
person_1064,"Robert, infirmarer of St. Augustine's, Canterbury, 13th cent.",fmo
person_10646608,"Louis I, King of Hungary and Poland, 1326-1382",fmo
person_10646727,"Barbaro, Francesco, 1390–1454",fmo
person_10646727,"Barbaro, Francesco, 1390–1454",fmo
person_10646727,"Barbaro, Francesco, 1390–1454",fmo
person_1066,"Harry, Robert ap, 16th cent.",sgn
person_1067,"Blakeney, Robert, prior of Tynemouth, c. 1539–40",fmo
person_1068,Rodel (?),fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_106872042,"Morezēnos, Iōannēs –1613",fmo
person_1069,"Rodulfus, active at Metz c. 1048–78",scr
person_1071,"Hewchet, Roger, of London, 'gionier', 16th cent.",
person_1073,"Walle, Roger, canon of Lichfield, -1488",fmo
person_1074,"Conway, Roger de, O.F.M. (d. c. 1360)",fmo
person_107637373,"Barnard, Francis Pierrepont, 1854–1931",fmo
person_107637373,"Barnard, Francis Pierrepont, 1854–1931",fmo
person_107637373,"Barnard, Francis Pierrepont, 1854–1931",fmo
person_1077,"Rolandi, family",
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_10779950,"Cecil, Thomas, Earl of Exeter, -1623",dnr
person_107982066,"Brudenell, Thomas, 1578–1663",fmo
person_107982066,"Brudenell, Thomas, 1578–1663",fmo
person_1080,"Coates, Ronald Ashton, 20th cent.",fmo
person_1081,"George, Rowland, 18th cent.",fmo
person_1082,"Temple-Gore-Langton, Algernon William Stephen (1871–1940), 5th Earl Temple of Stowe",fmo
person_1083,"Fremantle, John (1900–94), 4th Baron Cottesloe",fmo
person_1085,"Agar-Roberts, Arthur (1887–1974), 8th Viscount Clifden",dnr
person_1085,"Agar-Roberts, Arthur (1887–1974), 8th Viscount Clifden",fmo
person_10853721,"Wormald, Francis",fmo
person_10853721,"Wormald, Francis",fmo
person_1086,"Fraser, Alexander Arthur (1886–1979), 20th Lord Saltoun",fmo
person_1087,"Topcliffe, Richard, 17th cent.",fmo
person_1088,"Severne, Samuel Amy (1772–1845)",fmo
person_1089,"Frith, Samuel, 17th cent.",fmo
person_1090,"Vestey, Samuel (1882–1954), 2nd Baron Vestey",fmo
person_1090,"Vestey, Samuel (1882–1954), 2nd Baron Vestey",fmo
person_109229224,"Emden, A. B., (Alfred Brotherston), 1888–1979",dnr
person_109410666,"Pantin, W. A., (William Abel), 1902-",fmo
person_1103102,"Brockett, John Trotter, 1788–1842",fmo
person_1104,"Birch, Sheila Frances (d. before 2000)",dnr
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
person_11058091,"Tanner, Thomas, 1674–1735",fmo
