ID,Label,Type
work_854,Avianus: Fables [Latin],classical_literature
work_854,Avianus: Fables [Latin],classical_literature
work_854,Avianus: Fables [Latin],classical_literature
work_854,Avianus: Fables [Latin],classical_literature
work_855,"Avicenna, 980–1037: Avicenna latinus [Latin]",philosophy
work_856,"Avicenna, 980–1037: Canon medicinae [Latin]",medicine
work_856,"Avicenna, 980–1037: Canon medicinae [Latin]",medicine
work_856,"Avicenna, 980–1037: Canon medicinae [Latin]",medicine
work_856,"Avicenna, 980–1037: Canon medicinae [Latin]",medicine
work_856,"Avicenna, 980–1037: Canon medicinae [Latin]",medicine
work_856,"Avicenna, 980–1037: Canon medicinae [Latin]",medicine
work_856,"Avicenna, 980–1037: Canon medicinae [Latin]",medicine
work_856,"Avicenna, 980–1037: Canon medicinae [Latin]",medicine
work_856,"Avicenna, 980–1037: Canon medicinae [Latin]",medicine
work_857,"Avicenna, 980–1037: De anima [Latin]",philosophy
work_857,"Avicenna, 980–1037: De anima [Latin]",philosophy
work_857,"Avicenna, 980–1037: De anima [Latin]",philosophy
work_857,"Avicenna, 980–1037: De anima [Latin]",philosophy
work_857,"Avicenna, 980–1037: De anima [Latin]",philosophy
work_858,"Avicenna, 980–1037: De animalibus [Latin]",philosophy
work_858,"Avicenna, 980–1037: De animalibus [Latin]",philosophy
work_859,"Avicenna, 980–1037: De uiribus cordis [Latin]",medicine
work_859,"Avicenna, 980–1037: De uiribus cordis [Latin]",medicine
work_86,"Gregorius, Nazianzenus, 329–390: In illud ‘cum consummasset iesus hos sermones’ (or. 37) [Greek]",sermons
work_860,"Avicenna, 980–1037: Liber canonis [Latin]",medicine
work_861,"Avicenna, 980–1037: Metaphysics [Latin]",philosophy
work_861,"Avicenna, 980–1037: Metaphysics [Latin]",philosophy
work_861,"Avicenna, 980–1037: Metaphysics [Latin]",philosophy
work_861,"Avicenna, 980–1037: Metaphysics [Latin]",philosophy
work_862,"Avicenna, 980–1037: Sufficentia [Latin]",philosophy
work_862,"Avicenna, 980–1037: Sufficentia [Latin]",philosophy
work_863,"Azo, Portius, -approximately 1230: Summa codicis [Latin]",law
work_863,"Azo, Portius, -approximately 1230: Summa codicis [Latin]",law
work_864,"Azo, Portius, -approximately 1230: Summa institutionum [Latin]",law
work_864,"Azo, Portius, -approximately 1230: Summa institutionum [Latin]",law
work_866,"Azo, Portius, -approximately 1230: Works [Latin]",law
work_867,"Bachiarius, Monachus: De lapso [Latin]",monasticism_and_religious_orders
work_867,"Bachiarius, Monachus: De lapso [Latin]",monasticism_and_religious_orders
work_868,"Baldassar Beliardus, fl. 1513: Medical recipes [Latin]",science
work_869,"Baldassar Masserius, 15th cent. (?): Poems [Latin]",literature
work_87,"Aristides, Aelius, 117–187: In Iovem, or. 43 k [Greek]",classical_literature
work_870,"Ubaldi, Baldo degli, 1327?–1400: De pace constantiae [Latin]",law
work_871,"Baldwin, Archbishop of Canterbury, approximately 1120–1190: Liber de sacramento altaris [Latin]","liturgy, theology, clergy"
work_871,"Baldwin, Archbishop of Canterbury, approximately 1120–1190: Liber de sacramento altaris [Latin]","liturgy, theology, clergy"
work_872,"Baldwin, Archbishop of Canterbury, approximately 1120–1190: Sermon [Latin]",sermons
work_872,"Baldwin, Archbishop of Canterbury, approximately 1120–1190: Sermon [Latin]",sermons
work_873,"Bandinus, Magister, ca. 12th cent.: Commentary on Peter Lombard, Sentences [Latin]",theology
work_873,"Bandinus, Magister, ca. 12th cent.: Commentary on Peter Lombard, Sentences [Latin]",theology
work_874,"Giudici, Battista de', 1428 or 1429–1484: Serapion siue trialogus de contemptu mundi [Latin]",conduct
work_875,"Barnabas, de Riatinis, ca. 1300–1365: De conseruanda oculorum sanitate [Latin]",medicine
work_876,"Barsanuphius, Saint, active 6th century, & John, the Prophet, Saint: Quaestiones et responsiones [Greek]",theology
work_877,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Middle English]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_878,"Bartholomaeus, Anglicus, active 13th century: De proprietatibus rerum [Latin]",natural_history
work_879,"Bartholomaeus, de Bononia, –1294: De luce [Latin]",science
work_88,"Gregorius, Nazianzenus, 329–390: In laudem Heronis philosophi (or. 25) [Greek]",philosophy
work_880,"Facio, Bartolomeo, –1457: De differentiis uocabulorum [Latin]",grammar
work_880,"Facio, Bartolomeo, –1457: De differentiis uocabulorum [Latin]",grammar
work_881,"Facio, Bartolomeo, –1457: Synonyma [Latin]",grammar
work_882,"Montagnana, Bartolomeo, active 1422–1460: Antidotarium [Latin]",medicine
work_883,"Senarega, Bartolomeo, –1514: Commentaria de rebus genuensibus [Latin]",history
work_884,"Bartholomaeus, a Colle: Flores Sancti Hieronymi [Latin]",christian_literature
work_886,"Bartholomaeus, de Chaimis: Confessionale siue Interrogatorium [Latin]",theology
work_886,"Bartholomaeus, de Chaimis: Confessionale siue Interrogatorium [Latin]",theology
work_887,"Bartholomew, of Parma, active 1288–1297: Ars geomantie [Latin]",magic
work_888,"Bartholomeus, de Pisis, –1401: De conformitate uitae beati Francisci ad uitam domini Jesu [Latin]",hagiography
work_888,"Bartholomeus, de Pisis, –1401: De conformitate uitae beati Francisci ad uitam domini Jesu [Latin]",hagiography
work_888,"Bartholomeus, de Pisis, –1401: De conformitate uitae beati Francisci ad uitam domini Jesu [Latin]",hagiography
work_889,"Bartholomew, of San Concordio, 1262–1347: De documentis antiquorum [Latin]","christian_literature, classical_literature"
