Source,Target,Type,Label
person_13618315,person_25374986,Undirected,MS_Auct_F_1_7
person_13781981,person_47563478,Undirected,MS_Rawl_B_214
person_1390,person_8145335,Undirected,MS_Holkham_misc_40
person_1390,person_27099070,Undirected,MS_Holkham_misc_40
person_1394,person_1395,Undirected,MS_Ital_e_18
person_14,person_311,Undirected,MS_Eng_misc_e_558
person_14,person_89775123,Undirected,Smith_newsb_d_19
person_1401,person_1403,Undirected,MS_Barocci_17
person_141,person_771,Undirected,MS_Lat_th_d_36
person_1433,person_159912813,Undirected,MS_Fr_e_32
person_1433,person_73979081,Undirected,MS_Fr_e_32
person_1433,person_1170,Undirected,MS_Fr_e_32
person_1434,person_73979081,Undirected,MS_Top_Devon_d_5
person_1434,person_1437,Undirected,MS_Top_Devon_d_5
person_1434,person_1436,Undirected,MS_Top_Devon_d_5
person_1434,person_1435,Undirected,MS_Top_Devon_d_5
person_1434,person_1438,Undirected,MS_Top_Devon_d_5
person_1440,person_1441,Undirected,MS_Top_Suffolk_d_15
person_1440,person_1441,Undirected,MS_Top_Lincs_d_1
person_144153876,person_2384880,Undirected,MS_Canon_Pat_Lat_29
person_144153876,person_446,Undirected,MS_Canon_Pat_Lat_29
person_144153876,person_67260733,Undirected,MS_Canon_Pat_Lat_29
person_146,person_4705,Undirected,MS_Bodl_686
person_146,person_3507,Undirected,MS_Bodl_686
person_14803186,person_121287180,Undirected,MS_Wood_empt_9
person_14849374,person_54940373,Undirected,St_Johns_College_MS_99
person_14849374,person_39386049,Undirected,MS_Digby_76
person_14849374,person_49357645,Undirected,MS_Digby_76
person_14849374,person_37261411,Undirected,MS_Digby_76
person_149,person_24733638,Undirected,MS_Holkham_misc_53
person_149,person_25551534,Undirected,MS_Holkham_misc_53
person_149,person_8145335,Undirected,MS_Holkham_misc_53
person_149,person_24733638,Undirected,MS_Holkham_misc_50
person_149,person_8145335,Undirected,MS_Holkham_misc_52
person_149,person_24733638,Undirected,MS_Holkham_misc_51
person_149,person_25551534,Undirected,MS_Holkham_misc_51
person_149,person_8145335,Undirected,MS_Holkham_misc_50
person_149,person_25551534,Undirected,MS_Holkham_misc_50
person_149,person_25551534,Undirected,MS_Holkham_misc_52
person_149,person_24733638,Undirected,MS_Holkham_misc_52
person_149,person_8145335,Undirected,MS_Holkham_misc_51
person_15117440,person_47563478,Undirected,MS_Rawl_G_45
person_15202032,person_8145335,Undirected,MS_Holkham_misc_4
person_15202032,person_39728066,Undirected,MS_Holkham_misc_4
person_1563669,person_1563669,Undirected,MS_Add_A_62
person_16212389,person_2615949,Undirected,MS_Lat_liturg_f_26
person_162978974,person_56600848,Undirected,MS_Douce_222
person_162978974,person_69848690,Undirected,MS_Douce_222
person_166,person_8145335,Undirected,MS_Holkham_misc_24
person_168027631,person_64157046,Undirected,MS_Lyell_88
person_16904434,person_70399355,Undirected,MS_Lat_bib_d_10
person_16904434,person_4303,Undirected,Exeter_College_MS_23
person_16904434,person_34512366,Undirected,MS_Bodl_738
person_16904434,person_47563478,Undirected,MS_Rawl_G_170
person_16904434,person_4152,Undirected,Merton_College_MS_256B
person_16904434,person_4069,Undirected,Merton_College_MS_256B
person_16904434,person_1357,Undirected,MS_Lat_bib_d_10
person_16904434,person_359,Undirected,MS_Lat_bib_d_10
person_16904434,person_1058,Undirected,MS_Lat_bib_d_10
person_16904434,person_56735647,Undirected,MS_Lat_bib_d_10
person_16904434,person_1059,Undirected,MS_Lat_bib_d_10
person_16904434,person_22516011,Undirected,MS_Lat_bib_d_10
person_16904434,person_1262,Undirected,MS_Lat_bib_d_10
person_16904434,person_55959601,Undirected,MS_Lat_bib_d_10
person_16904434,person_2822,Undirected,MS_Bodl_783
person_171210661,person_3977,Undirected,MS_DOrville_76
person_171210661,person_24945908,Undirected,MS_DOrville_76
person_171210661,person_3393,Undirected,MS_DOrville_76
person_171210661,person_3394,Undirected,MS_DOrville_76
person_171210661,person_3392,Undirected,MS_DOrville_76
person_17133283,person_4612,Undirected,St_Johns_College_MS_60
person_17133283,person_54940373,Undirected,St_Johns_College_MS_60
person_17133283,person_4441,Undirected,St_Johns_College_MS_60
person_17133283,person_78992726,Undirected,St_Johns_College_MS_60
person_17138652,person_1085,Undirected,MS_Lat_misc_b_17
person_172419710,person_76469410,Undirected,MS_Bodl_331
person_172419710,person_14849374,Undirected,MS_Auct_D_1_15
person_172419710,person_76469410,Undirected,MS_Auct_D_1_15
person_172419710,person_3724,Undirected,MS_Bodl_883
person_172419710,person_76469410,Undirected,MS_Bodl_458
person_172419710,person_76469410,Undirected,MS_Bodl_209
person_172419710,person_12652996,Undirected,MS_Laud_Misc_509
person_172419710,person_76469410,Undirected,MS_Bodl_354
person_172419710,person_76469410,Undirected,MS_Bodl_245
person_172419710,person_224758718,Undirected,MS_Bodl_218
person_172419710,person_37261411,Undirected,MS_Laud_Misc_509
person_172419710,person_28246381,Undirected,MS_Bodl_218
person_172419710,person_76469410,Undirected,MS_Bodl_218
person_172419710,person_54940373,Undirected,MS_Laud_Misc_509
